relationship_id,num_findings,num_studies,num_significant_findings,highest_cited,median_effect_size,source_topic,target_topic,source_topic_name,target_topic_name
ak7lpHYuXE|hdqyXvdtil,8,2,7,36.0,0.1530663986727634,ak7lpHYuXE,hdqyXvdtil,air pollutant,infant
ak7lpHYuXE|hdqyXvdtil,8,2,7,36.0,0.1530663986727634,ak7lpHYuXE,hdqyXvdtil,air pollutant,infant
ak7lpHYuXE|hdqyXvdtil,8,2,7,36.0,0.1530663986727634,ak7lpHYuXE,hdqyXvdtil,air pollutant,infant
ak7lpHYuXE|hdqyXvdtil,8,2,7,36.0,0.1530663986727634,ak7lpHYuXE,hdqyXvdtil,air pollutant,infant
ak7lpHYuXE|9YqpsXAD_S,6,2,6,8.0,0.0454320812756429,ak7lpHYuXE,9YqpsXAD_S,air pollutant,hemorrhagic stroke
ak7lpHYuXE|9YqpsXAD_S,6,2,6,8.0,0.0454320812756429,ak7lpHYuXE,9YqpsXAD_S,air pollutant,hemorrhagic stroke
ak7lpHYuXE|zqWETa8mEd,3,1,0,29.0,0.0027635591468302,ak7lpHYuXE,zqWETa8mEd,air pollutant,venous thrombosis
ak7lpHYuXE|zqWETa8mEd,3,1,0,29.0,0.0027635591468302,ak7lpHYuXE,zqWETa8mEd,air pollutant,venous thrombosis
ak7lpHYuXE|IQFH6QKJ7d,13,5,11,7.0,0.0136137508245277,ak7lpHYuXE,IQFH6QKJ7d,air pollutant,small for gestational age
ak7lpHYuXE|IQFH6QKJ7d,13,5,11,7.0,0.0136137508245277,ak7lpHYuXE,IQFH6QKJ7d,air pollutant,small for gestational age
ak7lpHYuXE|SN_7jvyPq1,1,1,0,29.0,0.014688466360594,ak7lpHYuXE,SN_7jvyPq1,air pollutant,glucose
ak7lpHYuXE|SN_7jvyPq1,1,1,0,29.0,0.014688466360594,ak7lpHYuXE,SN_7jvyPq1,air pollutant,glucose
ak7lpHYuXE|SN_7jvyPq1,1,1,0,29.0,0.014688466360594,ak7lpHYuXE,SN_7jvyPq1,air pollutant,glucose
ak7lpHYuXE|SN_7jvyPq1,1,1,0,29.0,0.014688466360594,ak7lpHYuXE,SN_7jvyPq1,air pollutant,glucose
ak7lpHYuXE|00VmaYAMmb,2,2,1,41.0,,ak7lpHYuXE,00VmaYAMmb,air pollutant,sperm motility
ak7lpHYuXE|00VmaYAMmb,2,2,1,41.0,,ak7lpHYuXE,00VmaYAMmb,air pollutant,sperm motility
ak7lpHYuXE|00VmaYAMmb,2,2,1,41.0,,ak7lpHYuXE,00VmaYAMmb,air pollutant,sperm motility
ak7lpHYuXE|00VmaYAMmb,2,2,1,41.0,,ak7lpHYuXE,00VmaYAMmb,air pollutant,sperm motility
ak7lpHYuXE|IJYkDXdkn2,1,1,0,257.0,,ak7lpHYuXE,IJYkDXdkn2,air pollutant,DNA damage
ak7lpHYuXE|IJYkDXdkn2,1,1,0,257.0,,ak7lpHYuXE,IJYkDXdkn2,air pollutant,DNA damage
ak7lpHYuXE|wRjgstRdUn,6,1,5,,0.030580264587717,ak7lpHYuXE,wRjgstRdUn,air pollutant,prostate cancer
ak7lpHYuXE|wRjgstRdUn,6,1,5,,0.030580264587717,ak7lpHYuXE,wRjgstRdUn,air pollutant,prostate cancer
ak7lpHYuXE|B92dfRrdFs,1,1,1,0.0,0.2925506875377037,ak7lpHYuXE,B92dfRrdFs,air pollutant,vitamin D deficiency
ak7lpHYuXE|B92dfRrdFs,1,1,1,0.0,0.2925506875377037,ak7lpHYuXE,B92dfRrdFs,air pollutant,vitamin D deficiency
uejMsorb_s|ak7lpHYuXE,2,1,0,14.0,,uejMsorb_s,ak7lpHYuXE,COVID-19 mortality,air pollutant
uejMsorb_s|ak7lpHYuXE,2,1,0,14.0,,uejMsorb_s,ak7lpHYuXE,COVID-19 mortality,air pollutant
uejMsorb_s|ak7lpHYuXE,2,1,0,14.0,,uejMsorb_s,ak7lpHYuXE,COVID-19 mortality,air pollutant
uejMsorb_s|ak7lpHYuXE,2,1,0,14.0,,uejMsorb_s,ak7lpHYuXE,COVID-19 mortality,air pollutant
ak7lpHYuXE|z39oxvhLO3,1,1,0,2.0,,ak7lpHYuXE,z39oxvhLO3,air pollutant,respiration disorder
ak7lpHYuXE|z39oxvhLO3,1,1,0,2.0,,ak7lpHYuXE,z39oxvhLO3,air pollutant,respiration disorder
ak7lpHYuXE|dE3dFH7x1g,2,1,0,12.0,,ak7lpHYuXE,dE3dFH7x1g,air pollutant,ventilation
ak7lpHYuXE|dE3dFH7x1g,2,1,0,12.0,,ak7lpHYuXE,dE3dFH7x1g,air pollutant,ventilation
ak7lpHYuXE|dE3dFH7x1g,2,1,0,12.0,,ak7lpHYuXE,dE3dFH7x1g,air pollutant,ventilation
ak7lpHYuXE|dE3dFH7x1g,2,1,0,12.0,,ak7lpHYuXE,dE3dFH7x1g,air pollutant,ventilation
ak7lpHYuXE|gEB4YqMlvE,1,1,0,18.0,,ak7lpHYuXE,gEB4YqMlvE,air pollutant,executive functions
ak7lpHYuXE|gEB4YqMlvE,1,1,0,18.0,,ak7lpHYuXE,gEB4YqMlvE,air pollutant,executive functions
P6IzhScRdx|ak7lpHYuXE,2,2,0,35.0,,P6IzhScRdx,ak7lpHYuXE,air pollution,air pollutant
P6IzhScRdx|ak7lpHYuXE,2,2,0,35.0,,P6IzhScRdx,ak7lpHYuXE,air pollution,air pollutant
P6IzhScRdx|ak7lpHYuXE,2,2,0,35.0,,P6IzhScRdx,ak7lpHYuXE,air pollution,air pollutant
P6IzhScRdx|ak7lpHYuXE,2,2,0,35.0,,P6IzhScRdx,ak7lpHYuXE,air pollution,air pollutant
ak7lpHYuXE|jt0p0t_A6y,8,2,7,754.0,0.0085298362535774,ak7lpHYuXE,jt0p0t_A6y,air pollutant,myocardial infarction
ak7lpHYuXE|jt0p0t_A6y,8,2,7,754.0,0.0085298362535774,ak7lpHYuXE,jt0p0t_A6y,air pollutant,myocardial infarction
ak7lpHYuXE|5aCPz8F60T,1,1,0,18.0,0.0157519862717301,ak7lpHYuXE,5aCPz8F60T,air pollutant,duodenal ulcer
ak7lpHYuXE|5aCPz8F60T,1,1,0,18.0,0.0157519862717301,ak7lpHYuXE,5aCPz8F60T,air pollutant,duodenal ulcer
ak7lpHYuXE|eZDLU6F0Lg,2,1,0,12.0,,ak7lpHYuXE,eZDLU6F0Lg,air pollutant,vascular disease
ak7lpHYuXE|eZDLU6F0Lg,2,1,0,12.0,,ak7lpHYuXE,eZDLU6F0Lg,air pollutant,vascular disease
txEuNLbgVg|ak7lpHYuXE,3,1,0,14.0,,txEuNLbgVg,ak7lpHYuXE,Cyanobacteria,air pollutant
txEuNLbgVg|ak7lpHYuXE,3,1,0,14.0,,txEuNLbgVg,ak7lpHYuXE,Cyanobacteria,air pollutant
txEuNLbgVg|ak7lpHYuXE,3,1,0,14.0,,txEuNLbgVg,ak7lpHYuXE,Cyanobacteria,air pollutant
txEuNLbgVg|ak7lpHYuXE,3,1,0,14.0,,txEuNLbgVg,ak7lpHYuXE,Cyanobacteria,air pollutant
ak7lpHYuXE|YmUdjrprCs,1,1,0,43.0,,ak7lpHYuXE,YmUdjrprCs,air pollutant,high-density lipoprotein
ak7lpHYuXE|YmUdjrprCs,1,1,0,43.0,,ak7lpHYuXE,YmUdjrprCs,air pollutant,high-density lipoprotein
ak7lpHYuXE|YmUdjrprCs,1,1,0,43.0,,ak7lpHYuXE,YmUdjrprCs,air pollutant,high-density lipoprotein
ak7lpHYuXE|YmUdjrprCs,1,1,0,43.0,,ak7lpHYuXE,YmUdjrprCs,air pollutant,high-density lipoprotein
ak7lpHYuXE|P6IzhScRdx,1,1,0,5.0,,ak7lpHYuXE,P6IzhScRdx,air pollutant,air pollution
ak7lpHYuXE|P6IzhScRdx,1,1,0,5.0,,ak7lpHYuXE,P6IzhScRdx,air pollutant,air pollution
ak7lpHYuXE|P6IzhScRdx,1,1,0,5.0,,ak7lpHYuXE,P6IzhScRdx,air pollutant,air pollution
ak7lpHYuXE|P6IzhScRdx,1,1,0,5.0,,ak7lpHYuXE,P6IzhScRdx,air pollutant,air pollution
ak7lpHYuXE|Loqd61BlH9,1,1,1,0.0,0.1572273912192401,ak7lpHYuXE,Loqd61BlH9,air pollutant,endometrial cancer
ak7lpHYuXE|Loqd61BlH9,1,1,1,0.0,0.1572273912192401,ak7lpHYuXE,Loqd61BlH9,air pollutant,endometrial cancer
ak7lpHYuXE|FWj5rpxhIL,1,1,1,0.0,0.1005191425187925,ak7lpHYuXE,FWj5rpxhIL,air pollutant,ovarian cancer
ak7lpHYuXE|FWj5rpxhIL,1,1,1,0.0,0.1005191425187925,ak7lpHYuXE,FWj5rpxhIL,air pollutant,ovarian cancer
ak7lpHYuXE|T7gs1ABE8-,1,1,1,0.0,0.0865607034083129,ak7lpHYuXE,T7gs1ABE8-,air pollutant,breast cancer
ak7lpHYuXE|T7gs1ABE8-,1,1,1,0.0,0.0865607034083129,ak7lpHYuXE,T7gs1ABE8-,air pollutant,breast cancer
ak7lpHYuXE|bCIK43ypLl,1,1,1,0.0,0.0031125662143151,ak7lpHYuXE,bCIK43ypLl,air pollutant,persistent vegetative state
ak7lpHYuXE|bCIK43ypLl,1,1,1,0.0,0.0031125662143151,ak7lpHYuXE,bCIK43ypLl,air pollutant,persistent vegetative state
iCXPAq4Z-O|ak7lpHYuXE,1,1,0,,,iCXPAq4Z-O,ak7lpHYuXE,microplastics,air pollutant
iCXPAq4Z-O|ak7lpHYuXE,1,1,0,,,iCXPAq4Z-O,ak7lpHYuXE,microplastics,air pollutant
iCXPAq4Z-O|ak7lpHYuXE,1,1,0,,,iCXPAq4Z-O,ak7lpHYuXE,microplastics,air pollutant
iCXPAq4Z-O|ak7lpHYuXE,1,1,0,,,iCXPAq4Z-O,ak7lpHYuXE,microplastics,air pollutant
ak7lpHYuXE|6NCEnmfhWp,1,1,1,17.0,,ak7lpHYuXE,6NCEnmfhWp,air pollutant,Proton-Motive Force
ak7lpHYuXE|6NCEnmfhWp,1,1,1,17.0,,ak7lpHYuXE,6NCEnmfhWp,air pollutant,Proton-Motive Force
ak7lpHYuXE|6NCEnmfhWp,1,1,1,17.0,,ak7lpHYuXE,6NCEnmfhWp,air pollutant,Proton-Motive Force
ak7lpHYuXE|6NCEnmfhWp,1,1,1,17.0,,ak7lpHYuXE,6NCEnmfhWp,air pollutant,Proton-Motive Force
DZBybMvxDI|ak7lpHYuXE,1,1,1,8.0,,DZBybMvxDI,ak7lpHYuXE,COVID-19,air pollutant
DZBybMvxDI|ak7lpHYuXE,1,1,1,8.0,,DZBybMvxDI,ak7lpHYuXE,COVID-19,air pollutant
DZBybMvxDI|ak7lpHYuXE,1,1,1,8.0,,DZBybMvxDI,ak7lpHYuXE,COVID-19,air pollutant
DZBybMvxDI|ak7lpHYuXE,1,1,1,8.0,,DZBybMvxDI,ak7lpHYuXE,COVID-19,air pollutant
ak7lpHYuXE|AdVRW421hl,1,1,1,4.0,0.1447502019186259,ak7lpHYuXE,AdVRW421hl,air pollutant,hyperuricemia
ak7lpHYuXE|AdVRW421hl,1,1,1,4.0,0.1447502019186259,ak7lpHYuXE,AdVRW421hl,air pollutant,hyperuricemia
ak7lpHYuXE|WdTYQ8MJsC,1,1,1,190.0,0.0575366919749161,ak7lpHYuXE,WdTYQ8MJsC,air pollutant,gestational hypertension
ak7lpHYuXE|WdTYQ8MJsC,1,1,1,190.0,0.0575366919749161,ak7lpHYuXE,WdTYQ8MJsC,air pollutant,gestational hypertension
ak7lpHYuXE|QJrqUzuQgA,1,1,1,15.0,0.2281935618251056,ak7lpHYuXE,QJrqUzuQgA,air pollutant,neurological disorder
ak7lpHYuXE|QJrqUzuQgA,1,1,1,15.0,0.2281935618251056,ak7lpHYuXE,QJrqUzuQgA,air pollutant,neurological disorder
ak7lpHYuXE|FeOr0EDH3J,1,1,1,31.0,,ak7lpHYuXE,FeOr0EDH3J,air pollutant,serum creatinine level
ak7lpHYuXE|FeOr0EDH3J,1,1,1,31.0,,ak7lpHYuXE,FeOr0EDH3J,air pollutant,serum creatinine level
ak7lpHYuXE|OmSPyYqNuD,1,1,1,16.0,0.0722396671815594,ak7lpHYuXE,OmSPyYqNuD,air pollutant,heart rate
ak7lpHYuXE|OmSPyYqNuD,1,1,1,16.0,0.0722396671815594,ak7lpHYuXE,OmSPyYqNuD,air pollutant,heart rate
ak7lpHYuXE|OmSPyYqNuD,1,1,1,16.0,0.0722396671815594,ak7lpHYuXE,OmSPyYqNuD,air pollutant,heart rate
ak7lpHYuXE|OmSPyYqNuD,1,1,1,16.0,0.0722396671815594,ak7lpHYuXE,OmSPyYqNuD,air pollutant,heart rate
ak7lpHYuXE|qOlywFxfHx,1,1,1,8.0,,ak7lpHYuXE,qOlywFxfHx,air pollutant,bone density
ak7lpHYuXE|qOlywFxfHx,1,1,1,8.0,,ak7lpHYuXE,qOlywFxfHx,air pollutant,bone density
ak7lpHYuXE|JxB_DrfKvK,1,1,1,31.0,0.0813691701250095,ak7lpHYuXE,JxB_DrfKvK,air pollutant,anxiety
ak7lpHYuXE|JxB_DrfKvK,1,1,1,31.0,0.0813691701250095,ak7lpHYuXE,JxB_DrfKvK,air pollutant,anxiety
ak7lpHYuXE|SHiXUXDAV8,1,1,1,3.0,,ak7lpHYuXE,SHiXUXDAV8,air pollutant,fractional exhaled nitric oxide testing
ak7lpHYuXE|SHiXUXDAV8,1,1,1,3.0,,ak7lpHYuXE,SHiXUXDAV8,air pollutant,fractional exhaled nitric oxide testing
ak7lpHYuXE|8AlHRo-6lo,1,1,1,40.0,0.6615752583169636,ak7lpHYuXE,8AlHRo-6lo,air pollutant,very low birth weight infant
ak7lpHYuXE|8AlHRo-6lo,1,1,1,40.0,0.6615752583169636,ak7lpHYuXE,8AlHRo-6lo,air pollutant,very low birth weight infant
ak7lpHYuXE|bSqtTxWXSy,7,2,1,19.0,0.129051078238952,ak7lpHYuXE,bSqtTxWXSy,air pollutant,Alzheimer's disease
ak7lpHYuXE|bSqtTxWXSy,7,2,1,19.0,0.129051078238952,ak7lpHYuXE,bSqtTxWXSy,air pollutant,Alzheimer's disease
ak7lpHYuXE|jPynp9Lafm,1,1,1,6.0,0.3264671087324082,ak7lpHYuXE,jPynp9Lafm,air pollutant,multimorbidity
ak7lpHYuXE|jPynp9Lafm,1,1,1,6.0,0.3264671087324082,ak7lpHYuXE,jPynp9Lafm,air pollutant,multimorbidity
ak7lpHYuXE|EDzi6c5zgm,1,1,1,9.0,0.238054122710444,ak7lpHYuXE,EDzi6c5zgm,air pollutant,child behavior disorders
ak7lpHYuXE|EDzi6c5zgm,1,1,1,9.0,0.238054122710444,ak7lpHYuXE,EDzi6c5zgm,air pollutant,child behavior disorders
ak7lpHYuXE|tT5LvW72gI,1,1,1,0.0,0.3793885102760138,ak7lpHYuXE,tT5LvW72gI,air pollutant,diastolic blood pressure
ak7lpHYuXE|tT5LvW72gI,1,1,1,0.0,0.3793885102760138,ak7lpHYuXE,tT5LvW72gI,air pollutant,diastolic blood pressure
ak7lpHYuXE|jQx2Q-ElPQ,13,4,7,91.0,0.0475122540785741,ak7lpHYuXE,jQx2Q-ElPQ,air pollutant,heart arrhythmia
ak7lpHYuXE|jQx2Q-ElPQ,13,4,7,91.0,0.0475122540785741,ak7lpHYuXE,jQx2Q-ElPQ,air pollutant,heart arrhythmia
ak7lpHYuXE|2QQQyt8Olx,1,1,1,10.0,,ak7lpHYuXE,2QQQyt8Olx,air pollutant,dry eye syndrome
ak7lpHYuXE|2QQQyt8Olx,1,1,1,10.0,,ak7lpHYuXE,2QQQyt8Olx,air pollutant,dry eye syndrome
ak7lpHYuXE|2QQQyt8Olx,1,1,1,10.0,,ak7lpHYuXE,2QQQyt8Olx,air pollutant,dry eye syndrome
ak7lpHYuXE|2QQQyt8Olx,1,1,1,10.0,,ak7lpHYuXE,2QQQyt8Olx,air pollutant,dry eye syndrome
ak7lpHYuXE|Cafz_pJDqr,1,1,1,29.0,,ak7lpHYuXE,Cafz_pJDqr,air pollutant,Cystatin C
ak7lpHYuXE|Cafz_pJDqr,1,1,1,29.0,,ak7lpHYuXE,Cafz_pJDqr,air pollutant,Cystatin C
ak7lpHYuXE|LhOABjOhA6,1,1,1,29.0,,ak7lpHYuXE,LhOABjOhA6,air pollutant,uric acid
ak7lpHYuXE|LhOABjOhA6,1,1,1,29.0,,ak7lpHYuXE,LhOABjOhA6,air pollutant,uric acid
